,bigram,count,phrase_array,category_arrays
1192,"('lake', 'band')",12,lake band,[]
1193,"('16078532', 'amp')",12,16078532 amp,[]
1194,"('mobile', 'broadband')",12,mobile broadband,['Missing documentation needed to determine eligible service']
1195,"('frn', 'self')",12,frn self,[]
1196,"('process', 'required')",12,process required,['Competitive Bidding Violation - specified vendor in 470']
1197,"('024', '98')",12,024 98,[]
1198,"('requested', 'dr2')",12,requested dr2,[]
1199,"('one', 'time')",11,one time,"['Competitive Bidding Violation', 'Voice - no discount remaining']"
1200,"('voice', 'local')",11,voice local,[]
1201,"('line', 'count')",11,line count,[]
1202,"('requests', 'duplicates')",11,requests duplicates,[]
1203,"('child', 'validation')",11,child validation,"['Missing required fields on 471', 'Missing documentation needed to determine eligible service']"
1204,"('rate', 'program')",11,rate program,[]
1205,"('voip', 'service')",11,voip service,[]
1206,"('provider', 'associated')",11,provider associated,['Competitive Bidding Violation - specified vendor in 470']
1207,"('access', 'service')",11,access service,['Missing documentation needed to determine eligible service']
1208,"('place', 'time')",11,place time,['Competitive Bidding Violation']
1209,"('violation', 'occurs')",11,violation occurs,['Competitive Bidding Violation - specified vendor in 470']
1210,"('demonstrate', 'contract')",11,demonstrate contract,['Competitive Bidding Violation']
1211,"('occurs', 'service')",11,occurs service,['Competitive Bidding Violation - specified vendor in 470']
1212,"('validate', 'requests')",11,validate requests,[]
1213,"('wait', 'least')",11,wait least,[]
1214,"('rfp', 'cited')",11,rfp cited,[]
1215,"('form', 'usac')",11,form usac,['Competitive Bidding Violation']
1216,"('cost', 'allocation')",11,cost allocation,[]
1217,"('response', 'fcc')",11,response fcc,['Competitive Bidding Violation']
1218,"('470', 'participates')",11,470 participates,['Competitive Bidding Violation - specified vendor in 470']
1219,"('ineligible', 'services')",11,ineligible services,['Ineligible Service']
1220,"('eligible', 'data')",11,eligible data,['Ineligible Service']
1221,"('bidding', 'cost')",11,bidding cost,['Competitive Bidding Violation']
1222,"('submission', 'fcc')",11,submission fcc,['Competitive Bidding Violation']
1223,"('unit', 'cost')",11,unit cost,[]
1224,"('fcc', 'registration')",11,fcc registration,[]
1225,"('least', '28')",11,least 28,[]
1226,"('district', 'documentation')",11,district documentation,[]
1227,"('time', 'submission')",11,time submission,['Competitive Bidding Violation']
1228,"('fiber', 'iru')",11,fiber iru,[]
1229,"('registration', 'number')",11,registration number,[]
1230,"('therefore', 'funding')",11,therefore funding,"['Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470']"
1231,"('received', 'response')",11,received response,['Competitive Bidding Violation']
1232,"('time', 'warner')",11,time warner,"['Ineligible Service', 'Competitive Bidding Violation - price not primary factor']"
1233,"('monthly', 'quantity')",11,monthly quantity,[]
1234,"('form', 'provided')",11,form provided,['Competitive Bidding Violation']
1235,"('require', 'signed')",11,require signed,['Competitive Bidding Violation']
1236,"('frn', 'dark')",11,frn dark,[]
1237,"('associated', 'fcc')",11,associated fcc,['Competitive Bidding Violation - specified vendor in 470']
1238,"('cost', 'ineligible')",11,cost ineligible,[]
1239,"('filed', 'therefore')",11,filed therefore,['Competitive Bidding Violation']
1240,"('interconnected', 'voip')",11,interconnected voip,[]
1241,"('equipment', 'substantially')",10,equipment substantially,[]
1242,"('98', 'month')",10,98 month,[]
1243,"('entity', 'requesting')",10,entity requesting,['Applicant ineligible']
1244,"('services', 'inc')",10,services inc,[]
1245,"('item', 'cost')",10,item cost,[]
1246,"('number', '143004851')",10,number 143004851,[]
1247,"('changed', 'promedia')",10,changed promedia,[]
1248,"('distance', 'services')",10,distance services,[]
1249,"('provider', 'place')",10,provider place,['Competitive Bidding Violation']
1250,"('promedia', 'technology')",10,promedia technology,[]
1251,"('weighted', 'factor')",10,weighted factor,[]
1252,"('471', 'network')",10,471 network,[]
1253,"('ineligible', 'data')",10,ineligible data,[]
1254,"('fcc', 'rn')",10,fcc rn,[]
1255,"('question', 'yes')",10,question yes,['Competitive Bidding Violation - price not primary factor']
1256,"('470', 'dark')",10,470 dark,[]
1257,"('fiber', 'substantially')",10,fiber substantially,['470 / 471 Mismatch']
1258,"('however', 'documentation')",10,however documentation,['Competitive Bidding Violation - 28 day failure']
1259,"('certification', 'documentation')",10,certification documentation,['Competitive Bidding Violation']
1260,"('phone', 'number')",10,phone number,['Competitive Bidding Violation - specified vendor in 470']
1261,"('highest', 'weighting')",10,highest weighting,[]
1262,"('given', 'highest')",10,given highest,[]
1263,"('012', '98')",10,012 98,[]
1264,"('technical', 'contact')",10,technical contact,['Competitive Bidding Violation - specified vendor in 470']
1265,"('although', 'price')",10,although price,[]
1266,"('technology', 'services')",10,technology services,[]
1267,"('9', '1')",10,9 1,"['Competitive Bidding Violation', 'Red light rule violation', 'Category 2 budget exceeded', 'Ineligible Service']"
1268,"('entity', 'removed')",10,entity removed,"['Missing required fields on 471', 'Missing documentation needed to determine eligible service']"
1269,"('services', 'functions')",10,services functions,[]
1270,"('time', 'frame')",10,time frame,[]
1271,"('review', 'adhere')",10,review adhere,['Competitive Bidding Violation']
1272,"('review', 'although')",10,review although,[]
1273,"('mr1', 'data')",10,mr1 data,['Missing documentation needed to determine eligible service']
1274,"('dark', 'lit')",10,dark lit,[]
1275,"('item', 'fcc')",10,item fcc,[]
1276,"('dr1', 'description')",10,dr1 description,['Competitive Bidding Violation - specified vendor in 470']
1277,"('duplicative', 'services')",10,duplicative services,['Missing documentation needed to determine eligible service']
1278,"('department', 'education')",10,department education,[]
1279,"('mr2', 'consultation')",10,mr2 consultation,[]
1280,"('process', 'bid')",9,process bid,['Competitive Bidding Violation']
1281,"('dr2', 'program')",9,dr2 program,['Competitive Bidding Violation']
1282,"('unmatched', 'entity')",9,unmatched entity,[]
1283,"('internet', 'service')",9,internet service,['Competitive Bidding Violation - price not primary factor']
1284,"('centro', 'tecnológico')",9,centro tecnológico,[]
1285,"('time', 'student')",9,time student,"['Missing required fields on 471', 'Missing documentation needed to determine eligible service']"
1286,"('amount', '1')",9,amount 1,[]
1287,"('clear', 'requested')",9,clear requested,[]
1288,"('dr2', 'vendor')",9,dr2 vendor,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation']"
1289,"('mr1', 'applicant')",9,mr1 applicant,"['Ineligible Service', 'Competitive Bidding Violation - price not primary factor', 'Missing documentation needed to determine eligible service']"
1290,"('discount', 'requested')",9,discount requested,[]
1291,"('days', 'e')",9,days e,['Competitive Bidding Violation - 28 day failure']
1292,"('supports', 'funding')",9,supports funding,['Ineligible Service']
1293,"('validate', 'unmatched')",9,validate unmatched,[]
1294,"('signing', 'contract')",9,signing contract,[]
1295,"('provided', 'fiber')",9,provided fiber,['Competitive Bidding Violation']
1296,"('days', 'selecting')",9,days selecting,['Competitive Bidding Violation - 28 day failure']
1297,"('effective', 'bid')",9,effective bid,['Competitive Bidding Violation - price not primary factor']
1298,"('conduct', 'independent')",9,conduct independent,['Voice - no discount remaining']
1299,"('score', 'vendor')",9,score vendor,['Competitive Bidding Violation']
1300,"('ral', 'corrections')",9,ral corrections,"['Ineligible Service', 'Competitive Bidding Violation - price not primary factor']"
1301,"('scoring', 'worksheet')",9,scoring worksheet,['Competitive Bidding Violation']
1302,"('470', 'cited')",9,470 cited,[]
1303,"('review', 'consider')",9,review consider,['Competitive Bidding Violation']
1304,"('pri', 'local')",9,pri local,[]
1305,"('portal', 'selecting')",9,portal selecting,['Competitive Bidding Violation - 28 day failure']
1306,"('available', 'e')",9,available e,['Competitive Bidding Violation - 28 day failure']
1307,"('associated', 'documents')",9,associated documents,[]
1308,"('1', 'connection')",9,1 connection,['Missing documentation needed to determine eligible service']
1309,"('counts', 'ben')",9,counts ben,"['Missing required fields on 471', 'Missing documentation needed to determine eligible service']"
1310,"('portal', 'made')",9,portal made,['Competitive Bidding Violation - 28 day failure']
1311,"('2017', '7')",9,2017 7,[]
1312,"('documentation', 'dr2')",9,documentation dr2,[]
1313,"('portal', '28')",9,portal 28,['Competitive Bidding Violation - 28 day failure']
1314,"('support', 'discount')",9,support discount,[]
1315,"('provider', 'signing')",9,provider signing,[]
1316,"('applicants', 'wait')",9,applicants wait,[]
1317,"('applicant', 'submit')",9,applicant submit,"['Ineligible Service', 'Competitive Bidding Violation - price not primary factor']"
1318,"('pri', '1')",9,pri 1,[]
1319,"('documentation', 'supports')",9,documentation supports,['Ineligible Service']
1320,"('worksheet', 'contain')",9,worksheet contain,['Competitive Bidding Violation']
1321,"('agreement', 'submitting')",9,agreement submitting,[]
1322,"('17004590', 'meet')",9,17004590 meet,[]
1323,"('response', 'therefore')",9,response therefore,['Competitive Bidding Violation']
1324,"('vendor', 'therefore')",9,vendor therefore,[]
1325,"('accordance', 'bid')",9,accordance bid,['Competitive Bidding Violation']
1326,"('rfp', 'bid')",9,rfp bid,['Competitive Bidding Violation']
1327,"('denied', 'failure')",9,denied failure,['Competitive Bidding Violation']
1328,"('services', 'accordance')",9,services accordance,[]
1329,"('16078738', '17004590')",9,16078738 17004590,[]
1330,"('type', 'therefore')",9,type therefore,"['Competitive Bidding Violation', '470 / 471 Mismatch']"
1331,"('request', 'wireless')",9,request wireless,[]
1332,"('operation', 'dark')",9,operation dark,[]
1333,"('contained', 'additional')",9,contained additional,[]
1334,"('rfp', 'documentation')",9,rfp documentation,['Competitive Bidding Violation - 28 day failure']
1335,"('denied', 'program')",9,denied program,['Competitive Bidding Violation - 28 day failure']
1336,"('phone', 'lines')",9,phone lines,[]
1337,"('submitting', 'fcc')",9,submitting fcc,[]
1338,"('denied', 'winning')",9,denied winning,['Competitive Bidding Violation']
1339,"('contain', 'score')",9,contain score,['Competitive Bidding Violation']
1340,"('submit', 'ral')",9,submit ral,"['Ineligible Service', 'Competitive Bidding Violation - price not primary factor']"
1341,"('frn', 'changed')",9,frn changed,"['470 / 471 Mismatch', 'Competitive Bidding Violation']"
1342,"('rfp', 'however')",9,rfp however,['Competitive Bidding Violation - 28 day failure']
1343,"('documents', 'contains')",9,documents contains,[]
1344,"('documentation', 'clear')",9,documentation clear,[]
1345,"('request', 'amount')",9,request amount,['Ineligible Service']
1346,"('denied', 'dr3')",9,denied dr3,['Competitive Bidding Violation']
1347,"('supply', 'documentation')",9,supply documentation,"['Missing required fields on 471', 'Missing documentation needed to determine eligible service']"
1348,"('addenda', 'program')",9,addenda program,[]
1349,"('failed', 'supply')",9,failed supply,"['Missing required fields on 471', 'Missing documentation needed to determine eligible service']"
1350,"('bid', 'scoring')",9,bid scoring,['Competitive Bidding Violation']
1351,"('contract', 'entering')",9,contract entering,[]
1352,"('entity', 'documentation')",9,entity documentation,[]
1353,"('requested', 'full')",9,requested full,"['Missing required fields on 471', 'Missing documentation needed to determine eligible service']"
1354,"('voice', 'data')",9,voice data,[]
1355,"('rules', 'applicants')",9,rules applicants,['Competitive Bidding Violation']
1356,"('rules', 'according')",9,rules according,[]
1357,"('entering', 'legally')",9,entering legally,[]
1358,"('additional', 'significant')",9,additional significant,[]
1359,"('addenda', 'well')",9,addenda well,[]
1360,"('vendor', 'provided')",9,vendor provided,['Competitive Bidding Violation']
1361,"('documentation', 'available')",9,documentation available,['Competitive Bidding Violation - 28 day failure']
1362,"('rfp', 'associated')",9,rfp associated,['Competitive Bidding Violation - specified vendor in 470']
